property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score
1,Peoria,Peoria,IL,61615,3,1,1897,9170,56,176500,186893.9,140170.425,233617.375,177549.205,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
2,Peoria,Morton,IL,61550,4,2.5,2168,13200,50,330000,264995.3828,198746.5371,331244.2285,251745.6137,OK,37900,"Peoria, IL",0.595813122
3,Peoria,Washington,IL,61571,3,1,874,11600,77,115000,113478.8966,85109.17246,141848.6208,107804.9518,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
4,Peoria,Pekin,IL,61554,3,2.5,1928,17859,63,159900,225758.2468,169318.6851,282197.8085,214470.3344,OK,37900,"Peoria, IL",0.595813122
5,Peoria,Peoria Heights,IL,61616,2,1,720,6098,75,105000,82298.07925,61723.55944,102872.5991,78183.17529,OK,37900,"Peoria, IL",0.595813122
6,Peoria,Dunlap,IL,61525,4,2,2539,6577,13,410000,359535.9432,269651.9574,449419.929,341559.146,OK,37900,"Peoria, IL",0.595813122
7,Peoria,Hanna City,IL,61536,1,2,484,350222,75,60000,132586.9554,99440.21654,165733.6942,125957.6076,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
8,Peoria,Eureka,IL,61530,4,2,1864,30056,75,280000,247342.279,185506.7093,309177.8488,234975.1651,OK,37900,"Peoria, IL",0.595813122
9,Peoria,Tremont,IL,61568,3,2.5,1792,12197,23,312000,294446.4616,220834.8462,368058.077,279724.1385,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
10,Peoria,Morton,IL,61550,3,3,1746,11600,24,308000,285003.4053,213752.554,356254.2567,270753.2351,OK,37900,"Peoria, IL",0.595813122
11,Peoria,Marquette Heights,IL,61554,2,2,1638,22000,68,184000,195385.0979,146538.8234,244231.3724,185615.843,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122
12,Peoria,Peoria,IL,61604,3,1.5,1320,13943,95,90000,148319.0211,111239.2658,185398.7764,140903.07,OK,37900,"Peoria, IL",0.595813122
