property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score,reno_tier,cost_per_sqft,estimated_reno_cost,estimated_reno_days,warranty_flag,fast_close_flag,eco_upgrade_flag,reno_uplift_pct,eco_uplift_pct,cx_uplift_pct,total_uplift_pct,predicted_sell_price_base,predicted_sell_price_bull,predicted_sell_price_bear,reno_to_fair_ratio,max_offer_price_used,estimated_reno_cost_used,expected_holding_months,buy_closing_cost,holding_cost_monthly,holding_cost_base,sell_closing_cost_base,total_cost,sell_base_used,sell_bull_used,sell_bear_used,profit_base,profit_bull,profit_bear,margin_pct_base,margin_pct_bear,meets_9pct_hurdle_flag,liquidity_flag,stop_loss_price,reno_to_buy_ratio,reno_risk_flag,sell_base_q4_4m,total_cost_q4_4m,profit_base_q4_4m,profit_bull_q4_4m,profit_bear_q4_4m,margin_base_q4_4m,sell_base_m6,total_cost_m6,profit_base_m6,profit_bull_m6,profit_bear_m6,margin_base_m6,sell_base_y1,total_cost_y1,profit_base_y1,profit_bull_y1,profit_bear_y1,margin_base_y1,sell_base_y2,total_cost_y2,profit_base_y2,profit_bull_y2,profit_bear_y2,margin_base_y2,sell_base_y3,total_cost_y3,profit_base_y3,profit_bull_y3,profit_bear_y3,margin_base_y3,buy_if_6m,buy_if_y1,buy_decision,decision_reason,buy_decision_v2
1,Peoria,Peoria,IL,61615,3,1,1897,9170,56,176500,186893.9,140170.425,233617.375,177549.205,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122,Heavy,49.80098911678716,37378.78,85,1,1,1,0.2228503405599619,0.017137725,0.020960232,0.2609482968878915,235663.54490373592,245090.08669988537,226237.00310758647,0.2,177549.205,37378.78,9,3550.9840999999997,319.58856899999995,2876.2971209999996,11311.850155379325,232667.11637637933,235663.54490373592,245090.08669988537,226237.00310758647,2996.428527356591,12422.970323506044,-6430.113269,0.012878607746654449,-0.027636537,FALSE,OK,221712.26304543472,0.2105263157894737,OK,237996.99908428924,231181.17933204587,6815.819752243377,9104.392829277029,4482.365571690054,0.029482589248555586,239172.3763073257,231876.77457675163,7295.601730574068,10753.695027523063,3786.7703269842896,0.031463270713036465,242733.4513,233965.23758804068,8768.213662807335,15838.120009919425,1698.307315695245,0.037476566,250015.45478837343,238149.8365858419,11865.618202531536,26641.72246799583,-2486.291682,0.049824171,257515.91843202466,242344.92166873717,15170.99676328749,38334.13092833079,-6681.376765,0.062600845,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
2,Peoria,Morton,IL,61550,4,2.5,2168,13200,50,330000,264995.3828,198746.5371,331244.2285,251745.6137,OK,37900,"Peoria, IL",0.595813122,Medium,24.14429815652873,52999.07656000001,48,1,1,1,0.1354406028927013,0.021327053,0.021319095,0.1780867508291828,312187.5495075875,324675.0515,299700.0475,0.2,251745.6137,52999.07656000001,6,5034.912274,453.1421047,2718.852628,14985.00238,327483.4575383242,312187.5495075875,324675.0515,299700.0475,-15295.90803,-2808.40605,-27783.41001,-0.046707422,-0.084839125,FALSE,OK,293706.0465767383,0.2105263157560231,OK,315278.7163777657,326725.5493387728,-11446.83296,-8415.12086,-14537.99983,-0.03503501,316835.75879243645,327706.57158399693,-10870.81279,-6289.817149,-15519.02208,-0.033172398,321553.1759928151,330651.86023757514,-9098.684245,266.9422404676443,-18464.31073,-0.027517414,331199.7712725996,336552.6020669248,-5352.830794,14221.328559800575,-24365.05256,-0.015904886,341135.7644107776,342467.23499347735,-1331.470583,29353.131470851542,-30279.68549,-0.003887877,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
3,Peoria,Washington,IL,61571,3,1,874,11600,77,115000,113478.8966,85109.17246,141848.6208,107804.9518,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122,Heavy,51.74775216,22695.77932,81,1,1,1,0.2650086285995874,0.031414379,0.026540837,0.3229638446102479,150128.4773280648,156133.61642118738,144123.3382349422,0.2,107804.9518,22695.77932,9,2156.099036,194.0489132,1746.440219,7206.166912,141609.4372869071,150128.4773280648,156133.61642118738,144123.3382349422,8519.040041157685,14524.179134280275,2513.900948035094,0.060158703,0.017752354618441265,FALSE,OK,141240.87147024335,0.21052631573088837,OK,151614.99457104516,140710.5455483702,10904.449022674962,12362.374946047668,9417.931779694598,0.077495606,152363.76372349352,141134.5842941677,11229.179429325828,13432.143325763027,8993.893033897097,0.079563627,154632.33164790674,142407.76903397954,12224.562613927206,16728.416933769156,7720.708294085256,0.085841964,159271.30159734393,144959.02655043252,14312.27504691141,23725.330575381115,5169.450777632272,0.098733245,164049.44064526426,147516.9641836127,16532.47646165156,31288.45436974973,2611.5131444520957,0.11207169665635047,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
4,Peoria,Pekin,IL,61554,3,2.5,1928,17859,63,159900,225758.2468,169318.6851,282197.8085,214470.3344,OK,37900,"Peoria, IL",0.595813122,Heavy,48.03946466836537,45151.64936,66,1,1,1,0.215465289,0.028214841,0.017551298,0.2612314271543129,284733.39580341964,296122.73163555644,273344.05997128284,0.2,214470.3344,45151.64936,9,4289.406688,386.0466019,3474.419417,13667.202998564144,281053.01286384417,284733.39580341964,296122.73163555644,273344.05997128284,3680.382939575473,15069.718771712272,-7708.952893,0.013094977712828968,-0.027428821,FALSE,OK,267877.1787718572,0.21052631584837034,OK,287552.7216904678,279258.1074968224,8294.614193645364,11059.71383616433,5475.288306597213,0.029702322,288972.8359,280098.3661825731,8874.469714,13052.607015353802,4635.029620846559,0.031683404,293275.3976775222,282621.1687595611,10654.228917961125,19196.230792063754,2112.2270438585547,0.037697915,302073.65960784786,287676.0445552567,14397.615052591136,32250.398969465634,-2942.648752,0.050048015207000134,311135.86939608335,292743.5898,18392.27954795136,46378.440288073674,-8010.194045,0.062827267,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
5,Peoria,Peoria Heights,IL,61616,2,1,720,6098,75,105000,82298.07925,61723.55944,102872.5991,78183.17529,OK,37900,"Peoria, IL",0.595813122,Heavy,34.16607900141594,16459.61585,49,1,1,1,0.2826676409586602,0.021790595,0.02161835,0.3260765861634927,109133.55597965256,113498.89821883869,104768.21374046644,0.1999999999999999,78183.17529,16459.61585,9,1563.663506,140.7297155,1266.5674396979998,5238.410687023324,102711.43277252132,109133.55597965256,113498.89821883869,104768.21374046644,6422.123207131241,10787.465446317365,2056.7809679451166,0.062525885,0.020024849351486927,FALSE,OK,102672.84946565711,0.21052631578274184,OK,110214.1565,102059.65302053763,8154.503492996373,9214.320012848853,7073.902959,0.079899385,110758.46257504154,102367.23914253399,8391.223432507555,9992.633691186304,6766.316837118575,0.081971767,112407.56265904215,103290.77423969802,9116.788419344128,12390.79509873371,5842.781739954546,0.088263337,115779.7895388134,105141.39771619103,10638.391822622376,17481.065782546604,3992.1582634615334,0.10118176145364424,119253.18322497781,106996.87719939093,12256.306025586877,22982.93410927095,2136.678780261631,0.11454825922393036,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
6,Peoria,Dunlap,IL,61525,4,2,2539,6577,13,410000,359535.9432,269651.9574,449419.929,341559.146,OK,37900,"Peoria, IL",0.595813122,Light,17.804978813094046,46806.84120644578,14,1,1,1,0.097757885,0.016114071,0.01948049,0.1333524465889135,407480.94086237263,423780.17849686753,391181.7032278777,0.1301868202379099,341559.146,46806.84120644578,4,6831.18292,614.8064628,2459.225851,19559.085161393887,417215.4811390396,407480.94086237263,423780.17849686753,391181.7032278777,-9734.540277,6564.697357827914,-26033.77791,-0.023332165,-0.062398878,FALSE,OK,383358.0691633201,0.1370387581612169,OK,411515.6680211256,417409.1480426598,-5893.480022,-1936.355847,-9928.20718,-0.014119192,413547.9883653975,418736.31234478485,-5188.323979,790.9933172536548,-11255.37148,-0.012390432,419705.3690882438,422720.70539628144,-3015.336308,9209.091917833546,-15239.76453,-0.007133164,432296.5301608911,430702.75868136855,1593.7714795225766,27142.826471593406,-23221.81782,0.003700398,445265.4260657179,438702.9432384002,6562.482827317668,46613.37702373945,-31222.00238,0.014958830179882062,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
7,Peoria,Hanna City,IL,61536,1,2,484,350222,75,60000,132586.9554,99440.21654,165733.6942,125957.6076,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122,Heavy,49.50621314577812,26517.39108,66,1,1,1,0.2512154745997254,0.028175394,0.026451535,0.305842404,173137.6685139514,180063.17525450944,166212.16177339334,0.2,125957.6076,26517.39108,9,2519.152152,226.7236937,2040.513243,8310.608088669667,165345.27216378966,173137.6685139514,180063.17525450944,166212.16177339334,7792.396350161725,14717.903090719774,866.8896096,0.047128026,0.005242905,FALSE,OK,162887.91853792546,0.21052631583961587,OK,174852.01434783998,164293.94229541635,10558.072052423639,12239.44456569571,8843.726218535041,0.064263307,175715.5423580974,164788.8390272687,10926.703330828692,13467.300821976678,8348.829486682691,0.066307302,178331.79856936994,166274.76148748977,12057.037081880175,17251.167137298704,6862.907026461617,0.072512731,183681.75252645102,169252.24360158967,14429.508924861351,25285.24074068613,3885.424912361719,0.085254462,189192.20510224457,172237.42964938778,16954.77545285679,33972.30375342455,900.2388645636092,0.098438391,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
8,Peoria,Eureka,IL,61530,4,2,1864,30056,75,280000,247342.279,185506.7093,309177.8488,234975.1651,OK,37900,"Peoria, IL",0.595813122,Heavy,50.079479021369934,49468.4558,67,1,1,1,0.3081326375780812,0.031363172,0.02715374,0.3666495494993443,338030.2141674912,351551.4227341908,324509.00560079154,0.2,234975.1651,49468.4558,9,4699.503302,422.9552972,3806.597675,16225.450280039577,309175.1721566596,338030.2141674912,351551.4227341908,324509.00560079154,28855.04201083159,42376.25057753123,15333.833444131946,0.093329105,0.049595941,TRUE,OK,318018.8254887757,0.21052631574467612,OK,341377.2656460076,307221.0541417284,34156.21150427923,37438.88658957352,30809.16003,0.11117796467335261,343063.1989310768,308147.88953377167,34915.30939730513,39875.516620939656,29882.324633719516,0.11330698857010528,348171.1205925159,310930.8015566008,37240.319035915134,47381.225460939866,27099.412610890402,0.1197704403985722,358616.2542102914,316507.63153641403,42108.62267387734,63303.117102179094,21522.58263107715,0.13304141347072942,369374.7418366001,322099.50250863686,47275.23932796327,80499.89104827185,15930.711658854329,0.1467721587887135,TRUE,TRUE,BUY,PASS,BUY
9,Peoria,Tremont,IL,61568,3,2.5,1792,12197,23,312000,294446.4616,220834.8462,368058.077,279724.1385,REVIEW_REQUIRED,37900,"Peoria, IL",0.595813122,Medium,19.79359085745764,38970.11481656409,35,1,1,1,0.1278653272900691,0.019998781,0.026345708,0.1742098156514074,345741.9253945452,359571.6024,331912.2483787634,0.132350427,279724.1385,38970.11481656409,6,5594.4827700000005,503.5034493,3021.020696,16595.61241893817,343905.3692013023,345741.9253945452,359571.6024,331912.2483787634,1836.5561932428973,15666.233209024707,-11993.12082,0.005340295,-0.034873317,FALSE,OK,325274.0034111881,0.1393162385825494,OK,349165.3354155309,343062.6859837096,6102.649431821308,9460.214397514006,2679.2394108356093,0.017788729818640475,350889.7310335443,344152.4638719742,6737.267161570082,11810.634937521594,1589.4615225709858,0.019576402521634617,356114.18315638154,347424.25826967036,8689.924886711175,19062.182648547576,-1682.332875,0.02501243,366797.60865107295,353979.1040850156,12818.504566057352,34496.52328829543,-8237.17869,0.036212602,377801.5369106052,360549.33403307316,17252.20287753205,51234.830982636486,-14807.40864,0.04784977,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
10,Peoria,Morton,IL,61550,3,3,1746,11600,24,308000,285003.4053,213752.554,356254.2567,270753.2351,OK,37900,"Peoria, IL",0.595813122,Medium,24.30540313053794,46637.23386591924,39,1,1,1,0.1234366101900515,0.026714636,0.017841583,0.1679928288984302,332881.93360203283,346197.2109461141,319566.6562579515,0.1636374618641065,270753.2351,46637.23386591924,6,5415.064702,487.35582317999996,2924.1349390799996,15978.332812897577,341708.0014198968,332881.93360203283,346197.2109461141,319566.6562579515,-8826.067818,4489.209526,-22141.34516,-0.025829269,-0.064796098,FALSE,OK,313175.3231327925,0.17224996,OK,336178.00869040354,340891.5013777786,-4713.492687,-1480.813524,-8009.567776,-0.013826959,337838.2648105259,341945.9053179045,-4107.640507,777.0215804077452,-9063.971716,-0.012012545,342868.3916100938,345111.4863433637,-2243.094733,7743.363274791103,-12229.55274,-0.006499624,353154.44335839665,351453.48670544225,1700.9566529543954,22572.653889801877,-18571.5531,0.004839777,363749.07665914856,357810.29898203834,5938.777677110222,38657.41004892043,-24928.36538,0.016597559360381466,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
